longitude|latitude
-78.22470223|-8.091340154
-73.7231019|-10.74225311
-74.7356279|-12.46014128
-72.68070054|-3.39654702
-79.10124672|-5.618157959
-78.29091617|-7.428838031
-72.21777845|-12.96098369
-74.01962487|-11.67723777
-75.90895296|-10.85666506
-74.38970399|-12.8099692
-74.43224866|-13.06317949
-70.02757166|-4.34382956
-76.12878409|-10.50877368
-78.80579127|-5.038435795
-73.06219708|-13.21764315
-74.42275255|-13.1134339
-72.2574927|-3.585690261
-78.13671828|-9.01387942
-74.27437805|-15.34907693
-77.62067241|-10.84733694
-69.42038413|-14.28140717
-76.00098263|-9.146916565
-77.13008149|-8.529829486
-75.21787377|-10.81632557
-78.40561031|-7.75350116
-77.43858358|-10.93083399
-78.00990899|-5.929949029
-78.86191368|-5.880076735
-72.44565601|-12.61030073
-77.2259431|-6.229382784
-78.18301945|-5.74758551
-72.1715018|-15.03150783
-69.16000982|-16.61648738
-77.51813021|-9.137102715
-77.35195298|-9.473945176
-72.44194107|-12.86488496
-78.92830704|-5.779532056
-78.98026961|-6.061337423
-76.51068506|-12.31371834
-69.34063705|-15.32032706
-76.78262472|-5.240086033
-76.39850207|-2.892451253
-77.6670433|-6.21064071
-69.47621257|-15.41753854
-74.37438734|-12.51860438
-77.24459194|-8.309601273
-74.84731846|-5.976539418
-76.33970294|-10.36683388
-80.08607993|-5.050671319
-78.82625145|-5.072739053
-74.41922047|-12.97734194
-69.24846583|-16.53636689
-76.59159971|-6.609530902
-73.73414515|-13.33552563
-78.27047171|-8.87234922
-78.91698322|-5.798335475
-76.2618717|-10.35815708
-77.91292514|-7.883224839
-71.33353711|-17.6877392
-69.7309179|-16.27278718
-74.38249113|-12.42631552
-74.81888111|-11.15518784
-74.35064513|-11.38014496
-74.57814653|-11.02032874
-70.26415377|-15.24209289
-69.24744682|-14.08923612
-69.27419284|-14.72838648
-69.71925437|-14.93738686
-74.46006372|-12.42164749
-77.41951129|-8.186157009
-76.48117914|-12.26248279
-74.9165883|-7.771538138
-76.10268066|-7.1222956
-71.43210179|-13.6746856
-78.04260883|-7.198808563
-75.06251688|-3.812818157
-69.75351097|-14.14616009
-78.90982482|-5.046874976
-78.4618075|-5.993365195
-78.87206066|-5.752217121
-72.19229484|-14.40135325
-76.97917269|-8.985648188
-75.06077311|-11.03453157
-77.23307407|-5.782258862
-78.99875754|-5.017511632
-74.93759158|-10.29541723
-76.58848879|-8.060768136
-78.48789892|-8.851715842
-73.66895618|-11.25538784
-75.86680875|-10.6425032
-76.80735299|-6.479134308
-74.67682223|-12.52682045
-78.28612364|-5.158999948
-78.27002407|-5.205999817
-76.15830915|-7.224316968
-76.87153246|-6.42533653
-77.20944397|-8.887480799
-73.91773887|-12.50124656
-71.94931935|-13.87453611
-76.34321669|-9.92230404
-78.84762974|-5.20115325
-77.53198259|-8.023579956
-78.45441585|-5.932670287
-78.22518101|-6.249487644
-77.01447391|-9.353059807
-75.57985778|-11.53448856
-78.42607413|-5.041326922
-70.2551247|-15.44341872
-73.95988911|-11.86022289
-78.20623192|-8.346095193
-77.90372281|-4.535513172
-69.39355084|-14.63767975
-77.94739387|-4.612586882
-79.08368752|-6.30131064
-76.83135164|-9.091200029
-76.27461328|-9.216410923
-75.17780209|-12.41531791
-75.5334214|-13.2276759
-75.59405647|-11.64872655
-77.39474315|-8.343150385
-77.94093209|-4.830454623
-79.45127512|-5.709306171
-76.09153227|-6.573380539
-73.60592759|-13.2671471
-77.51269027|-8.131302234
-76.90066106|-6.34898253
-78.72741205|-6.173517622
-74.40795711|-11.52484193
-77.91529123|-7.664812831
-80.42063483|-4.826856745
-70.5949667|-13.94481369
-78.50709167|-8.818580963
-76.92402124|-9.237817424
-73.42251539|-13.75466486
-73.1892872|-15.89601306
-74.00183912|-14.15213307
-75.72468855|-5.308526947
